Sentence,Topic scores,Assigned topic
"['Var', '(', 'u', ')', '=', '2KVg', ',', 'Vg', 'genetic', 'variance', 'K', 'matrix', 'similarity', 'line', '.']","[0, 0, 0.22687644368578475, 0, 0, 0, 0, 0, 0, 0]",9
"['took', 'Q55SSRs+KIBS', '(', '94SSRs', ')', 'model', 'reference', 'avoid', 'use', 'SNP', 'candidate', 'locus', 'population', 'structure', 'kinship', 'estimation', '.']","[0, 0, 0.18142269951250073, 0, 0, 0.7927036980385731, 0.3628563508407946, 0, 0, 0]",5
"['compared', 'P-values', 'obtained', 'naive', 'model', '(', 'marker', 'included', 'model', ')', 'obtained', 'Q55SSRs', ',', 'KIBS', '(', '94SSRs', ')', ',', 'Q55SSRs+KIBS', '(', '94SSRs', ')', ',', 'Q30KSNPs+KIBS', '(', '94SSRs', ')', ',', 'Q55SSRs+KIBD', '(', '94SSRs', ')', ',', 'Q55SSRs+KIBS.-', 'NORM', '(', '94SSRs', ')', ',', 'KIBS', '(', '30KSNPs', ')', ',', 'Q55SSRs+KIBS', '(', '30KSNPs', ')', 'model', '.']","[0, 0, 0.21558610837163306, 0, 0.05813159527605853, 1.549848325565361, 0.2571155179394762, 0, 0, 0]",5
"['considered', 'association', 'obtained', 'within', 'three', 'main', 'group', '(', 'dent', ',', 'flint', ',', 'tropicals', ')', 'obtained', 'STRUCTURE', '55', 'SSRs', ',', 'using', 'corresponding', 'K', 'obtained', '94', 'SSRs', 'linear', 'mixed', 'model', '.']","[0, 0, 0.8493977594732415, 0, 0.7743412104147847, 0.1536381718569364, 0.15241887040281737, 0, 0.15241887040281737, 0]",2
"['addition', 'single', 'locus', 'model', 'used', 'two', 'complementary', 'multi-locus', 'model', '.']","[0, 0, 0, 0, 0, 0, 0.8797599878634861, 0, 0, 0]",0
"['First', ',', 'since', 'Vgt1', 'shown', 'major', 'QTL', 'involved', 'flowering', 'time', 'variation', '[', '21,24', ']', ',', 'used', 'second', 'model', 'includes', 'Vgt1', 'supplementary', 'fixed', 'effect', 'Q55SSRs+KIBS', '(', '94SSRs', ')', 'model', 'test', 'significance', 'SNPs', 'may', 'involved', 'flowering', '.']","[0.345067515355396, 0, 0, 0.3620035022775039, 0, 0.697404586416595, 0.6000923423777665, 0, 0.6885706728370173, 0]",5
"['Second', ',', 'forward', 'variable', 'selection', 'applied', '96', 'marker', 'P-', 'value,1025', ',', 'using', 'mixed', 'linear', 'model', 'used', '(', 'Q55SSRs+KIBS', '(', '94SSRs', ')', ')', '.']","[0, 0, 0.1476825161565835, 0, 0.1476825161565835, 0.9207086844441144, 0.31618781999401513, 0, 0.36216578298825225, 0]",5
"['order', 'eliminate', 'increasing', 'number', 'line', 'procedure', ',', 'used', 'genotype', 'imputed', 'FastPHASE', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",7
"['step', ',', 'marker', 'chosen', 'among', '96-i+1', 'marker', 'added', 'model', '.']","[0, 0, 0.45530637344189556, 0, 0.45530637344189556, 0, 0.7150579702883364, 0, 0, 0]",6
"['relative', 'quality', 'statistical', 'model', 'estimated', 'data', 'set', 'Akaike', 'Information', 'Criterion', '(', 'AIC', ')', 'penalizes', 'likelihood', 'increasing', 'number', 'parameter', 'estimate', '(', 'number', 'structure', 'covariates', '+', 'number', 'marker', '+', 'polygenic', 'variance', '+', 'residual', 'variance', ')', '.']","[0, 0, 0.22113729281255778, 0, 0.10306902467868778, 0, 0.22067046980368538, 0, 0, 0]",0
"['marker', 'added', 'step', 'chosen', 'minimize', 'criterion', '.']","[0, 0, 0.22098778958314436, 0, 0.22098778958314436, 0, 0.22098778958314436, 0, 0, 0]",4
"['stopped', 'procedure', 'AIC', 'criterion', 'stabilized', 'last', 'marker', 'added', 'significant', 'conditionally', 'n–i', 'marker', 'included', 'model', '.']","[0, 0, 0.32313767383238423, 0, 0.32313767383238423, 0, 0.7379005906601255, 0, 0, 0]",6
"['model', 'analyzed', 'using', 'r-Asreml', '[', '60', ']', '.']","[0, 0, 0, 0, 0, 0, 0.29173296641432905, 0, 0, 0]",1
"['Wald', 'test', 'fixed', 'effect', 'based', 'variance', 'estimate', 'using', 'restricted', 'maximum', 'likelihood', '(', 'REML', ')', 'method', 'denominator', 'degree', 'freedom', 'approximated', 'method', 'Kenward', 'Roger', '[', '61', ']', '.']","[0, 0, 0, 0, 0, 0.1391399098196247, 0, 0, 0, 0]",0
"['dealt', 'multiple', 'testing', 'problem', 'applying', 'Bonferroni', '[', '62', ']', 'FDR', 'approach', 'P-values', 'implemented', 'r-Fdrtool', '[', '63,64', ']', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",4
"['proportion', 'genetic', 'variance', 'explained', 'significant', 'SNPs', 'computed', 'based', 'relative', 'reduction', 'polygenic', 'variance', 'SNPs', 'added', 'linear', 'mixed', 'model', '[', '65', ']', '.']","[0, 0, 0.15016803644985238, 0, 0, 0, 0.3418110783644005, 0, 0, 0]",2
"['compared', 'value', 'proportion', 'genetic', 'variance', 'obtained', 'linear', 'model', 'includes', 'structure', '.']","[0, 0, 0.7862395658746568, 0, 0, 0.2664010423684046, 0.2472960090862221, 0, 0.2664010423684046, 0]",6
"['Genome', 'Scan', 'Flowering', 'Time', 'Adaptation', 'Maize', 'Genes', 'located', 'vicinity', 'QTLs', 'region', 'presenting', 'non-neutral', 'pattern', 'identified', 'according', 'maize', 'annota-', 'tion', 'version', '2', '(', 'maizegenome.org', ')', '.']","[0.589155192898505, 0.2500064921535815, 0.13741854657740712, 0, 0, 0, 0.5054924223283772, 0, 0.2554859301747957, 0]",4
"['Centromeric', 'region', 'consensually', 'defined', 'maize', 'GDB', '(', 'maizegdb.org', ')', '[', '66', ']', 'flanking', 'marker', '.']","[0.4615913505238386, 0.1729269777666865, 0.17046988360059503, 0, 0.17046988360059503, 0, 0.34339686136728154, 0, 0, 0]",0
"['Mega', 'Blast', 'primer', 'performed', 'B73', 'maize', 'RefGen_v2', 'sequence', '.']","[0, 0.18433743652400592, 0, 0, 0, 0, 0.18433743652400592, 0, 0, 0]",4
"['Results', 'Genotyping', 'SNP', 'genotyping', 'reproducibility', 'assessed', '20', 'DNA', 'replicates', '0.999', '.']","[0, 0, 0, 0, 0.2536381807066121, 0, 0, 0, 0, 0]",0
"['mean', 'interval', 'successive', 'marker', '50', 'kb', '(', 'Table', 'S1', 'Text', 'S1', ')', '.']","[0, 0, 0.19095027538943313, 0, 0.19095027538943313, 0.240765161568028, 0.19095027538943313, 0, 0, 0]",2
"['Markers', 'relatively', 'evenly', 'distributed', 'along', 'chromosome', '.']","[0.28637016200058457, 0, 0, 0, 0, 0, 0, 0, 0, 0]",6
"['However', ',', 'one', 'gap', '2', 'Mb', 'observed', 'long', 'arm', 'chromosome', '1', '(', '184908147', 'bp', ')', 'another', 'one', '6.5', 'Mb', 'small', 'arm', 'chromosome', '6', '(', '9501960', 'bp', ')', '(', 'Figure', 'S1', 'Figure', 'S2', 'Text', 'S1', ')', '.']","[0.2598364329502074, 0, 0.2563278103530175, 0, 0, 0.13583397762476912, 0, 0, 0, 0]",2
"['Polymorphism', 'MAF', 'distribution', 'group', 'basis', 'Among', '43224', 'polymorphic', 'SNP', 'marker', '29911', 'Panzea', 'SNPs', '(', 'see', 'Material', 'Methods', 'marker', 'sampling', 'detail', ')', ',', '4', '%', 'displayed', 'rare', 'allele', '(', 'MAF,0.05', ')', '.']","[0, 0, 0.3981370575484071, 0, 0.2527754364777346, 0.29506069603529417, 0.2527754364777346, 0, 0, 0]",4
"['distribution', 'MAF', '29911', 'Panzea', 'SNPs', 'showed', 'deficit', 'rare', 'allele', '(', 'MAF,0.1', ')', 'compared', 'frequency', 'class', '(', 'Figure', 'S3', 'Text', 'S1', ')', '.']","[0, 0, 0.17531807501623423, 0, 0, 0.36035627408440907, 0, 0, 0, 0]",2
"['order', 'compare', 'polymorphism', 'within', 'different', 'genetic', 'group', 'defined', 'Camus-Kulandaivelu', 'et', 'al', '.']","[0, 0.4661581963361408, 0.4382135089541742, 0, 0, 0.22125368560030903, 0, 0.4661581963361408, 0, 0.4661581963361408]",2
"['[', '30', ']', 'without', 'eliminating', 'marker', 'may', 'monomorphic', 'among', 'non-', 'admixed', 'line', ',', 'considered', '336', 'line', 'calculated', 'allele', 'frequency', 'quantitative', 'assignment', '.']","[0, 0, 0.15896357378966636, 0, 0.15896357378966636, 0.18828332595109204, 0.39822302249394453, 0, 0, 0]",4
"['deficit', 'rare', 'allele', 'visible', 'tropicals', '(', 'Trop', ')', ',', 'Corn', 'Belt', 'Dents', '(', 'CBD', ')', ',', 'Stiff', 'Stalk', '(', 'SS', ')', ',', 'lesser', 'extent', ',', 'Northern', 'European', 'Flints', '(', 'NF', 'EF', ')', '(', 'Figure', 'S3', 'Text', 'S1', ')', '.']","[0, 0, 0.14431961915152364, 0, 0, 0.4725647058170943, 0, 0, 0, 0]",5
"['considering', '242', 'non-admixed', 'line', ',', '98', '%', 'marker', 'polymorphic', 'Trop', 'CBD', ',', '84', '89', '%', 'polymorphic', 'NF', 'EF', ',', '52', '%', 'SS', '(', 'Table', '1', ')', '.']","[0, 0, 0.13694121515455066, 0, 0.13694121515455066, 0.19859326948559747, 0.13694121515455066, 0.23470201228095175, 0, 0]",5
"['Polymorphic', 'rate', 'significantly', 'different', 'group', '(', 'pairwise', 'Chi-squared', 'test', 'P-value,10216', ')', '.']","[0, 0, 0.20162933962367427, 0, 0, 0.4171119101515737, 0, 0, 0.21548257052789938, 0]",5
"['observed', 'heterozygosity', 'low', '(', '0.036', ')', ',', 'expected', 'inbred', 'line', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",4
"['average', 'genetic', 'diversity', 'panel', '0.36', '.']","[0, 0, 0.7522844446797395, 0, 0, 0, 0, 0, 0, 0]",2
"['lower', 'genetic', 'diversity', 'value', 'obtained', 'NF', '(', '0.28', ')', 'EF', '(', '0.30', ')', 'genetic', 'group', 'relative', 'CBD', '(', '0.34', ')', 'Trop', '(', '0.33', ')', '.']","[0, 0, 0.9712922380863837, 0, 0, 0.6234574667632126, 0.24504096843585554, 0, 0.20011079836650583, 0]",2
"['Wilcoxon', 'Signed-Rank', 'Test', 'assume', 'normal', 'distribution', '[', '67', ']', 'showed', 'pairwise', 'within-group', 'per-loci', 'diversity', 'distribu-', 'tions', 'significantly', 'different', ',', 'also', 'compared', 'global', 'diversity', 'panel', '(', 'P-values,10215', ')', '.']","[0, 0, 0.40387990169678234, 0, 0, 0.1304056368390696, 0, 0.20650783619147095, 0, 0]",1
"['Among', '987', 'marker', 'monomorphic', 'tropicals', ',', '921', '(', '93', '%', ')', 'presented', 'different', 'allele', 'dent', ',', '610', '(', '62', '%', ')', 'flint', ',', '589', '(', '57', '%', ')', 'common', 'dent', 'flint', '.']","[0, 0, 0.1268404828552067, 0, 0.3578569524509457, 0.1502353489411375, 0.1268404828552067, 0, 0, 0]",4
"['Considering', '3346', 'allele', 'rare', '(', ',0.05', ')', 'tropicals', ',', '30', '%', 'lost', 'NF', 'EF', ',', '57', '%', 'SS', '6', '%', 'CBD', '.']","[0, 0, 0, 0, 0, 0.44738630957114583, 0.25558244002774483, 0, 0, 0]",5
"['Looking', 'frequency', 'allele', 'rare', 'tropicals', '(', 'Figure', 'S4', 'Text', 'S1', ')', ',', 'observed', 'increased', 'frequency', 'near', 'fixation', 'flint', 'SS', ',', 'none', 'reached', 'frequency', 'higher', '0.6', 'CBD', '.']","[0, 0, 0.15285726828558507, 0, 0, 0.5005206530065844, 0, 0, 0, 0]",5
"['Comparison', 'similarity', 'matrix', 'structure', 'three', 'different', 'set', 'marker', 'Similarities', 'line', 'obtained', 'Panzea', 'non-', 'Panzea', 'SNP', 'marker', 'linearly', 'correlated', '(', 'Figure', 'S5', 'Text', 'S1', ')', '.']","[0, 0, 0.7632166441903119, 0, 0.26828946759367567, 0.16914025622758044, 0.26828946759367567, 0, 0, 0]",2
"['Similarities', 'one', 'dent', 'line', 'line', 'underestimated', 'non-Panzea', 'marker', 'relative', 'Panzea', 'marker', '.']","[0, 0, 0.3404331730376923, 0, 0.3404331730376923, 0, 0.3404331730376923, 0, 0, 0]",2
"['underestimation', 'particularly', 'marked', 'similarity', 'CBD', 'SS', 'dent', 'line', '.']","[0, 0, 0, 0, 0, 0.3029717935208129, 0, 0, 0, 0]",2
"['therefore', 'kept', 'PLOS', 'ONE', '|', 'www.plosone.org', '5', 'August', '2013', '|', 'Volume', '8', '|', 'Issue', '8', '|', 'e71377', 'Panzea', 'SNPs', 'diversity', 'statistic', 'calculation', '.']","[1.4409597675484573, 0, 0.1930567056231406, 0, 0, 0, 0, 0, 0, 0.22829687531441695]",0
"['average', 'IBS', 'calculated', 'Panzea', 'SNPs', 'higher', 'SS', '(', '0.80', ')', 'flint', '(', 'NF', ':', '0.73', ',', 'EF', ':', '0.70', ')', '.']","[0, 0, 0, 0, 0.2909724367726405, 0, 0, 0, 0, 0]",2
"['Average', 'similarity', '0.65', '0.67', 'within', 'tropicals', 'CBD', ',', 'respectively', ',', '0.64', 'within', 'entire', 'panel', '.']","[0, 0, 0, 0, 0, 0.2804798167383531, 0, 0.35225431562300336, 0, 0]",2
"['comparing', 'IBS', 'IBD', '(', 'Loiselle', 'similarity', '[', '38', ']', ',', ')', 'obtained', 'different', 'set', 'SSR', 'SNP', 'marker', ',', 'observed', '(', 'Figure', 'S6', 'Text', 'S1', ')', 'different', 'range', 'similarity', ':', '0.2', '1', 'SSRs', 'IBS', ',', '0.5', '1', 'SNPs', 'IBS', ',', '20.4', '1.2', 'SSRs', 'IBD', '20.2', '1.5', 'SNPs', 'IBD', '.']","[0, 0, 0.30767899046571473, 0, 1.048868032979357, 0.10946632290949547, 0.08681747961085622, 0, 0, 0]",4
"['Correlations', 'high', 'IBS', 'IBD', '55', 'SSRs', '(', 'R2', '=', '0.77', ')', ',', '94', 'SSRs', '(', 'R2', '=', '0.77', ')', '30K', 'SNPs', '(', 'R2', '=', '0.81', ')', '.']","[0, 0, 0.5055602850850319, 0, 0.9084780079123095, 0, 0, 0, 0, 0]",4
"['IBS', 'similarity', 'calculated', '30K', 'SNPs', 'correlated', 'IBS', 'calculated', '94', 'SSRs', '(', 'R2', '=', '0.32', ')', 'IBS', 'calculated', '55', 'SSRs', '(', 'R2', '=', '0.29', ')', '(', 'Figure', 'S7', 'Text', 'S1', ')', '.']","[0, 0, 0.41255074294690286, 0, 1.1236124778516323, 0.13150110983660554, 0, 0, 0, 0.1899507960853795]",2
"['tested', 'Mantel', 'test', ',', 'correlation', 'significant', 'P-value', '10216', '.']","[0, 0, 0, 0, 0, 0.2670193530980232, 0.30980576808560295, 0, 0.2670193530980232, 0]",3
"['Among', 'IBS', 'similarity', 'index', ',', 'variation', 'higher', '94', 'SSRs', '.']","[0, 0, 0, 0, 1.1234708986532365, 0, 0, 0, 0, 0]",4
"['expected', ',', 'variation', 'higher', 'IBD', 'index', 'standardizes', 'diversity', '.']","[0, 0, 0.272237971457058, 0, 0, 0, 0, 0, 0, 0]",6
"['Differentiation', 'group', 'also', 'consistent', 'SNPs', 'SSRs', ',', 'largest', 'differentiation', 'observed', 'NF', 'SS', '(', 'Table', 'S2', 'Text', 'S1', ')', '.']","[0, 0, 0.1901413713885339, 0, 0.2303289673330332, 0.39859290461464014, 0, 0, 0, 0]",2
"['Group', 'assignment', 'consistent', '55', 'SSRs', '29911', 'Panzea', 'SNPs', 'structure', 'level', 'ranging', '2', '5', '(', 'Figure', 'S8', 'Text', 'S1', ')', '.']","[0, 0, 0.6055237677387311, 0, 0.49186496335653984, 0.4188753900276467, 0, 0, 0, 0]",2
"['Groups', 'obtained', '94', 'SSRs', 'sometimes', 'differed', '.']","[0, 0, 0.3394728212371204, 0, 0.7433544392487281, 0, 0, 0, 0, 0]",3
"['instance', ',', 'tropicals', 'clustered', 'flint', 'instead', 'dent', 'Q', '=', '2', ',', 'European', 'Northern', 'Flints', 'separated', 'Q', '=', '9', 'instead', 'Q', '=', '5', '55', 'SSRs', 'Panzea', 'SNPs', '.']","[0, 0, 0, 0, 0.39028874163330446, 0, 0, 0, 0, 0]",4
"['Admixture', 'level', 'slightly', 'higher', 'Panzea', 'SNPs', '(', 'Figure', 'S9', 'Text', 'S1', ')', ',', 'mean', 'assignment', 'main', 'genetic', 'group', '0.82', 'average', '55', 'SSRs', '0.80', '94', 'SSRs', '(', 'significantly', 'different', 'according', 'Wilcoxon', 'Signed-Rank', 'Test', 'considering', 'sampling', 'individual', ',', 'P-value', '=', '0.24', ')', ',', '0.70', '29911', 'Panzea', 'SNPs', '(', 'distribution', 'significantly', 'different', 'SSRs', ',', 'P-value,10216', ')', '.']","[0, 0, 0.2842544623292889, 0.13814143747072027, 0.5893840164717231, 0.3991563730440186, 0, 0, 0.20151636873524084, 0]",2
"['Table', '2', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2
"['Extent', 'linkage', 'disequilibrium', 'number', 'marker', 'needed', 'reach', 'average', 'r2', '=', '0.1', 'individual', 'chromosome', 'whole', 'genome', '.']","[0.2308742125665872, 0, 0.6697006782819892, 0, 0.191443417971752, 0, 0.191443417971752, 0, 0, 0]",2
"['Chromosome', 'r2', 'extent', '(', 'kb', ')', 'r2', 'extent', '(', 'kb', ')', '#', 'Markersb', '1', '2', '3', '4', '5', '6', '7', '8', '9', '111.11', '(', '2711', ')', '78.61', '(', '3832', ')', '230.50', '(', '1028', ')', '183.25', '(', '1293', ')', '191.37', '(', '1213', ')', '146.75', '(', '1582', ')', '286.24', '(', '843', ')', '233.92', '(', '1031', ')', '144.89', '(', '1503', ')', '112.97', '(', '1927', ')', '156.89', '(', '1078', ')', '121.36', '(', '1393', ')', '199.92', '(', '881', ')', '154.89', '(', '1137', ')', '303.90', '(', '578', ')', '211.58', '(', '831', ')', '228.62', '(', '685', ')', '176.52', '(', '887', ')', '10', '289.97', '(', '518', ')', '237.90', '(', '631', ')', '6892', '4963', '4938', '4784', '4711', '3456', '3562', '3719', '3129', '3070', 'Whole', 'genome', '197.75', '(', '10402', ')', '152.37', '(', '13500', ')', '43224', 'LD', 'extent', 'computed', '43224', 'SNPs', 'MAF.0.05', '.']","[0, 0, 0.12863377157081826, 0, 0, 0, 0, 0.23911493808821374, 0, 0]",2
"['aPhysical', 'distance', 'reach', 'r2', 'r2', 'equal', '0.1', 'estimated', 'using', 'non-linear', 'regression', 'implemented', 'r-nls', 'obtained', 'fitting', 'Hill', 'Weir', 'model', '[', '53', ']', '.']","[0, 0, 0.5245472564054741, 0, 0, 0, 0.14525828927515816, 0, 0, 0]",8
"['r2', 'r2', 'obtained', 'Plink', 'software', '[', '50', ']', 'r-LDcorSV', '[', '34', ']', ',', 'respectively', '.']","[0, 0, 0.7728543159160225, 0, 0, 0, 0, 0, 0, 0]",2
"['number', 'reported', 'bracket', 'indicates', 'number', 'equidistant', 'marker', 'would', 'needed', 'reach', 'average', 'r2', '0.1', 'adjacent', 'marker', ';', 'bnumber', 'marker', 'used', 'estimate', 'LD', 'extent', 'chromosome', 'whole', 'genome', '.']","[0.14724899425652338, 0, 0.8221507700905664, 0, 0.3663014215401998, 0, 0.3663014215401998, 0, 0, 0]",2
"['doi:10.1371/journal.pone.0071377.t002', 'Genome', 'Scan', 'Flowering', 'Time', 'Adaptation', 'Maize', 'Identification', 'locus', 'selection', 'SNPs', ',', 'Hierfstat', 'FST', '(', 'FST', ')', 'based', 'non-admixed', 'line', '(', 'assignment', 'group', '.0.8', ')', 'ranged', '0', '0.95', '.']","[0.2398217242106437, 0.1173391191661825, 0.2620302745410731, 0, 0, 0.13303705461633214, 0.4901978979931583, 0, 0.3813093760085052, 0]",4
"['According', 'Hierfstat', ',', '86', '%', 'FST', 'value', 'significant', '(', 'P-value,0.05', ',', '1000', 'permutation', ')', '5', '%', '0.42', '(', 'Figure', 'S10', 'Text', 'S1', ',', 'see', 'Figures', 'S11', 'S12', 'visualization', 'along', 'genome', ')', '.']","[0, 0, 0.2963655748109024, 0, 0, 0.4782244509479774, 0.18337318334657823, 0, 0.31609604362949856, 0.2244584660320924]",2
"['According', 'BayeScan', '(', 'Figure', 'S13', 'Text', 'S1', ')', ',', '91', 'marker', 'log10', '(', 'PO', ')', '0', ',', 'including', '34', 'substantially', 'significant', '(', 'ranging', '0.5', '1', ')', '18', 'highly', 'significant', '(', 'ranging', '1', '3.1', ')', '.']","[0, 0, 0.27216039592920127, 0, 0.12429223564636463, 0.15671744979690352, 0.4787986189572717, 0, 0, 0]",6
"['marker', 'positive', 'alpha', 'value', 'corresponding', 'diversifying', 'selection', '.']","[0, 0, 0.2394085256188497, 0, 0.2394085256188497, 0.2942679178293622, 0.2394085256188497, 0, 0.5871079284895331, 0]",8
"['FST', 'value', 'ranged', '0.36', '0.72', 'calculated', 'Hierfstat', '0.38', '0.51', 'calculated', 'BayeScan', '.']","[0, 0, 0, 0, 0, 0.20161718121863123, 0.30636660128628834, 0, 0.20161718121863123, 0]",2
"['Therefore', ',', 'FST', 'found', 'within', 'range', '0.4–0.6', 'computed', 'BayesScan', '(', 'FSTB', ')', 'detected', 'outlier', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",6
"['Figure', 'S14', 'Text', 'S1', 'illustrated', 'FST', 'FSTB', 'constrained', 'different', 'way', 'MAF', ',', 'locus', 'MAF', '0.3', 'detected', 'outlier', '(', 'log10', '(', 'PO', ')', '.1', ')', 'according', 'BayeScan', '.']","[0, 0, 0.15055678880358853, 0, 0, 0.1595669814636092, 0.14555078686281225, 0, 0, 0]",6
"['Extent', 'LD', 'estimation', 'number', 'marker', 'needed', 'association', 'genetics', 'average', ',', 'entire', 'genome', ',', 'LD', 'decreased', 'r2', '=', '0.1', '200', 'kb', 'according', 'Hill', 'Weir', 'model', '[', '53', ']', '(', 'Table', '2', ')', '.']","[0, 0, 0.7990838843720556, 0.17780523505396353, 0.13388071533496115, 0, 0.28663820621879077, 0, 0.15275749088382962, 0]",2
"['estimation', '160', 'kb', 'considering', 'average', 'LD', 'class', '20', 'kb', ',', '6400', 'bp', 'using', 'Sved', 'model', '[', '52', ']', '(', 'Table', 'S3', 'Text', 'S1', ')', '.']","[0, 0, 0.16471110286495566, 0, 0.22121519704951248, 0.16813118826163076, 0.15214560737030164, 0, 0, 0]",5
"['According', 'Hill', 'Weir', 'model', ',', 'LD', 'ranged', '100', '300', 'kb', 'depending', 'chromosome', '(', 'Table', '2', ')', '.']","[0.2097712148967465, 0.3248838252131527, 0.21486162432871533, 0, 0, 0, 0.19847024132225172, 0, 0, 0]",2
"['generally', 'low', 'marker', 'different', 'chromosome', '95', 'quantile', 'pairwise', 'r2', '(', '1', 'billion', 'value', ')', '1025', '.']","[0.21574071027819505, 0, 0.42630572454210325, 0, 0.1788945526317672, 0.21988743875301894, 0.1788945526317672, 0, 0.21988743875301894, 0]",5
"['long', 'distance', 'LD', 'nevertheless', 'observed', 'centromeric', 'region', '(', 'see', 'Table', 'S4', 'Text', 'S1', 'position', ')', ',', 'chromosome', '1', ',', '5', '8', 'particular', '(', 'Figure', '1', ')', '.']","[0.4283122399892675, 0, 0.4285973732227645, 0, 0, 0.22285733188100246, 0, 0, 0, 0]",2
"['Extracting', 'variation', 'due', 'population', 'structure', 'LD', 'measure', '(', 'see', 'Material', 'Methods', 'detail', ')', 'led', 'decrease', 'r2s', 'relative', 'r2', '(', 'Figure', 'S15', 'Figure', 'S16', 'Text', 'S1', ')', '.']","[0, 0, 0.8318322723375949, 0, 0, 0.17073406016994883, 0, 0, 0, 0]",2
"['contrast', 'r2', ',', 'r2', 'value', '0.2', 'obtained', 'almost', 'exclusively', 'physically', 'linked', 'marker', '(', 'Figure', '1', ')', '.']","[0, 0, 1.174463275094123, 0, 0.18612803302401898, 0.2287784388048561, 0.18612803302401898, 0, 0.2287784388048561, 0]",2
"['led', 'estimate', 'LD', 'decay', '150', 'kb', ',', 'i.e', '.']","[0, 0, 0.28584953201797897, 0, 0, 0, 0, 0, 0, 0]",3
"['correction', '23', '%', '(', 'Table', '2', ')', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0.6005892283661936]",2
"['correction', 'particularly', 'marked', 'centromeric', 'region', '(', 'e.g', '.']","[0.31661682323886886, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2
"['chromosome', '8', ')', '.']","[1.0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0
"['nevertheless', 'detected', 'region', 'r2', 'corrected', 'structure', 'higher', 'r2', '(', 'Figure', 'S11', ')', ',', 'marker', 'different', 'chromosome', 'LD', 'even', 'correction', 'structure', '.']","[0.4050649631516679, 0, 1.4177974777984246, 0, 0.16715438140805725, 0, 0.16715438140805725, 0, 0, 0]",2
"['Diversity', ',', 'LD', 'differentiation', 'trend', 'along', 'chromosome', 'Based', 'LD', 'analysis', ',', 'plotted', 'diversity', 'LD', 'statistic', 'using', 'sliding', 'window', '1', 'Mb', 'step', '500', 'kb', '.']","[0.15700207217958506, 0, 0.7964400248218578, 0, 0, 0, 0, 0, 0, 0]",2
"['Centromeric', 'region', 'showed', 'specific', 'pattern', '(', 'Figure', '1', ',', 'Figure', 'S11', 'S12', ')', ',', 'general', 'trend', 'towards', 'higher', 'LD', '(', '0.39', 'compared', '0.14', 'outside', 'centromere', ')', ',', 'especially', 'chromosome', '1', ',', '3', '8', '(', '0.45', ',', '0.44', '0.69', ',', 'respectively', ')', '.']","[0.2963890931746208, 0, 0.44209410232917246, 0, 0, 0, 0, 0.20962252061105174, 0, 0]",0
"['highest', 'local', 'LD', 'outside', 'centromeric', 'region', 'found', 'region', 'Su1', 'Bt2', 'chromosome', '4', '(', '40', '60', 'Mb', ')', '.']","[0.5783841617553609, 0, 0.19624005226390467, 0, 0, 0, 0, 0, 0, 0]",0
"['assigning', 'line', '20', 'estimated', 'cluster', 'SNP', 'position', 'using', 'FastPHASE', 'algorithm', '[', '55', ']', ',', 'found', 'probability', 'cluster', 'switch', 'SNP', 'lower', 'centromeric', 'region', '(', '0.02', 'compared', '0.04', 'genome', 'wide', ',', 'Figure', 'S17', 'Text', 'S1', ')', ',', 'accord', 'recombination', 'rate', 'calculated', 'genetic', 'map', '(', 'Figure', 'S11', ')', '.']","[0.1184876782782539, 0, 0.4499093601317337, 0, 0.3014321058783035, 0.12272618966610753, 0, 0, 0, 0]",2
"['percentage', 'line', 'carrying', 'major', 'haplotype', 'increased', '67', '%', 'centromeric', 'region', 'compared', '53', '%', 'genome', 'wide', '.']","[0.2077696803802915, 0, 0.19033209294478556, 0, 0, 0, 0, 0.3108550538746288, 0, 0]",2
"['PLOS', 'ONE', '|', 'www.plosone.org', '6', 'August', '2013', '|', 'Volume', '8', '|', 'Issue', '8', '|', 'e71377', 'Genome', 'Scan', 'Flowering', 'Time', 'Adaptation', 'Maize', 'Figure', '1', '.']","[2.004062751032663, 0.18356981849006837, 0.4170884725387664, 0, 0, 0, 0.5587561220532791, 0, 0.3751863035632107, 0.2580692477370078]",0
"['Genome-wide', 'linkage', 'disequilibrium', 'locus', 'within', 'chromosome', '.']","[0.3697509828476826, 0, 0.34191133292344567, 0, 0, 0, 0.3526299808518461, 0, 0, 0]",2
"['upper', 'triangle', 'corresponds', 'measure', '[', '34', ']', 'corresponding', 'r2', 'corrected', 'structure', ',', 'using', 'Q', 'LD', 'r2', 'measure', 'calculated', 'Plink', '[', '50', ']', ',', 'lower', 'triangle', 'LD', 'r2', 'matrix', 'obtained', 'STRUCTURE', 'software', '[', '40,41', ']', '55', 'SSRs', '.']","[0, 0, 0.982066103354763, 0, 0.27086245163104294, 0, 0, 0, 0, 0]",2
"['Values', '0.2', 'highlighted', 'colored', 'dot', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",4
