Investigation,Study,Person,Data,Biological,Environment,Event,Observation Unit,Sample,Observed Variable
position 8 Mb Vgt1 1 Mb marker found associated NAM population [ 4 ] .,"Admixture level slightly higher Panzea SNPs ( Figure S9 Text S1 ) , mean assignment main genetic group 0.82 average 55 SSRs 0.80 94 SSRs ( significantly different according Wilcoxon Signed-Rank Test considering sampling individual , P-value = 0.24 ) , 0.70 29911 Panzea SNPs ( distribution significantly different SSRs , P-value,10216 ) .",,,,marker positive alpha value corresponding diversifying selection .,"n e h w l ) h g h ( n c f n g , ] 7 4 [ n c e B h w e n b e n c e e l r f ) ; e n l e x - n n g n u ] 6 4 [ f r e H - r h w e u c l c l x e n r r e p ( 0 1 g n n e r e f f k l j ; ) R 4 9 ( B K + R 5 5 Q l e e x r e n l n r e k r e h b ; R 5 5 Q l e r e n l n r e k r e h b e n p x e l e n p x e l e c n r v f e c n r v f e g n e c r e p h e g n e c r e p Genome Scan Flowering Time Adaptation Maize Discussion Suitability 50K Illumina array investigating line similarity , panel structure local diversity trend along genome ( CBD SS ) Ascertainment bias due marker type selection concern diversity analysis .","Admixture level slightly higher Panzea SNPs ( Figure S9 Text S1 ) , mean assignment main genetic group 0.82 average 55 SSRs 0.80 94 SSRs ( significantly different according Wilcoxon Signed-Rank Test considering sampling individual , P-value = 0.24 ) , 0.70 29911 Panzea SNPs ( distribution significantly different SSRs , P-value,10216 ) .","structure matrix built 29911 Panzea SNP marker estimated ADMIXTURE , computes maximum likeli- hood estimation individual ancestry multilocus biallelic genotype datasets using statistical model STRUC- TURE fast numerical optimization algorithm [ 42 ] .",[ 28 ] identified major effect GxQ GxE interaction photoperiod insensitive QTLs flowering time .
"marker associated flowering time ( 34/35 ) showed high differentiation among group ( Figure S17 Text S1 ) , observed previously Vgt1 locus [ 21 ] .","assigning line 20 estimated cluster SNP position using FastPHASE algorithm [ 55 ] , found probability cluster switch SNP lower centromeric region ( 0.02 compared 0.04 genome wide , Figure S17 Text S1 ) , accord recombination rate calculated genetic map ( Figure S11 ) .",,,,FST value ranged 0.36 0.72 calculated Hierfstat 0.38 0.51 calculated BayeScan .,relative deficiency rare allele observed CBD ( Figure S3 Text S1 ) confirmed emerged recently restricted number founder two origin [ 82 ] .,"According Hierfstat , 86 % FST value significant ( P-value,0.05 , 1000 permutation ) 5 % 0.42 ( Figure S10 Text S1 , see Figures S11 S12 visualization along genome ) .","calculated assignment one group 0.8. line using line Detection locus presenting selection signature taking structure obtained 55 SSRs reference , identified locus selection according difference allele frequency genetic group using BayeScan [ 47 ] .","concluded simple additive model accurately predict flowering time , contrast genetic architecture observed selfing plant specie like rice Arabidopsis ."
"Corn Belt Dents , intermediate flint tropicals respect flowering date , presented higher level diversity QTLs .","Phenotypic variation male ( MFLW ) , female flowering time ( FFLW ) , anthesis silking interval ( ASI ) association genetics analysis present design included eight additional field experiment compared previous study included two experiment [ 21,30 ] .",,,,generally low marker different chromosome 95 quantile pairwise r2 ( 1 billion value ) 1025 .,"value range reported literature different type panel [ 85,86,87,88 ] illustrates linkage disequi- librium maize markedly increased result domestication [ 1 ] genetic improvement [ 2,74,89 ] .",marker positive alpha value corresponding diversifying selection .,therefore also estimated r2 measure developed [ 34 ] r- LDcorSV corrects LD structure effect directly linked power association test obtained model include structure .,"[ 28 ] , however observed region presenting epistatic interaction chromosome 4 8 , chromosome 9 chromosome 2 , 7 8 , question generally remain open ."
higher level polymorphism allows many different putative combination early-late allele adjustment flowering date local environmental condition .,"FFLW8 , group adjusted mean 762 ( 641 ) , 763 ( 635 ) , 943 ( 673 ) , 889 ( 623 ) 1181 ( 633 ) NF , EF , SS , CBD Trop , respectively ( see Table S5 Text S1 trait ) .We tested several structure kinship matrix FFLW8 association study order avoid excess false positive .",,,,"contrast r2 , r2 value 0.2 obtained almost exclusively physically linked marker ( Figure 1 ) .",explain 10 % polymorphism detected peak LD outside centromere suggested different local history recombination [ 78 ] highlighted putative selective event involved flowering time adaptive trait .,FST value ranged 0.36 0.72 calculated Hierfstat 0.38 0.51 calculated BayeScan .,therefore used structure matrix calculated STRUCTURE 55 SSRs input .,"Genome Scan Flowering Time Adaptation Maize High density genotyping tool available today expected help discovery , fine mapping allele diversity character- ization region involved flowering time ."
also observed additional marker showed significant signature diversifying selection associated flowering time panel .,"Vgt1 Mite presented association P-value,10214 SAS GLM [ 32 ] P-value,1029 lmm study .",,,,"P-values two model globally strongly related , notable exception centromeric region chromosome 8 , marker P-value 1027 Q55SSRs+KIBS ( 94SSRs ) never 1023 Q55SSRs+KIBS ( 30KSNPs ) .","suggests meta QTL analysis useful describe number QTLs underlying variation flowering time , caution necessary respect exact position estimation .",generally low marker different chromosome 95 quantile pairwise r2 ( 1 billion value ) 1025 .,individual plot consisted row 15 plant planted density approximately six plant per square meter .,"domesticated specie like maize , locus critical local adaptation yield performance , flowering time locus , often target natural artificial selection , leading complex form allele sharing admixture among diverse genetic group ."
"Markers # 3 , # 8 , # 10 # 25 located region never reported associated flowering time knowledge illustrate differenti- ation adaptive trait .","Several associated marker close ZCN gene locus associated flowering time study ( # 4 5 Mb ZCN4 , 400 kb NAM PHM3457.6 , meta QTL 2_4 ; # 17 , 200 kb NAM PHM4748.16 , 1 Mb ZCN7 , meta QTL 6_3 ; # 23 5000 bp ZCN8 , 1 Mb NAM PZB02155.1 ; # 16 , meta QTL 6_1 , 1 Mb ZCN15 , 5 Mb NAM PZA00355.2 ; # 5 : centromere chromosome 2 , 5 Mb ZCN21 , meta QTL 2_4 ) .",,,,"FDR 5 % corresponded P-value,1023 .",fact progressive migration maize tropic temperate environment shaped adaptive trait like flowering time led allelic differentiation among group due selection demographic event phenotype distribution match genetic structure make difficult distinguish neutral locus versus locus control adaptive trait like flowering time .,"contrast r2 , r2 value 0.2 obtained almost exclusively physically linked marker ( Figure 1 ) .","Whole genome association genetics investigate effect population structure , proportion genetic variance trait explained first four column five group Q matrix obtained 55 SSRs [ 30 ] calculated linear model take relatedness account .","Differentiation flowering time maize genetic group actually clear QTL level [ 29,30 ] ."
"outlier marker associated flowering time study , suggesting false negative study .","nevertheless related flowering time according study ( # 1 , meta QTL 1_5 , 4 Mb association P- value 1025 ; # 3 1 Mb Phyc1 ; # 18 , 200 kb NAM PZA02722.1 .",,,,"Among association FFLW8 , 96 ( corresponding 18 region ) P-value 1025 , 50 1026 ( corresponding Bonferroni correction ) 7 1027 ( corresponding break point PLOS ONE | www.plosone.org 7 August 2013 | Volume 8 | Issue 8 | e71377 Genome Scan Flowering Time Adaptation Maize Figure 2 .","number early allele gathered one genome closely correlated precocity line ( Figure S21 Text S1 ) , indicating locus putatively numerous effect small mainly additive .","P-values two model globally strongly related , notable exception centromeric region chromosome 8 , marker P-value 1027 Q55SSRs+KIBS ( 94SSRs ) never 1023 Q55SSRs+KIBS ( 30KSNPs ) .","structure population and/or relatedness within sample increase long-range LD , consequently rate false positive , corrected test using linear mixed model using approach described [ 57 ] .",Genome- wide association mapping selection scan provide complementary information help decipher architecture adaptive trait .
"best false negative example noted chromosome 7 ( # 18 ) , clearly associated flowering time NAM design [ 4 ] .","n e h w l ) h g h ( n c f n g , ] 7 4 [ n c e B h w e n b e n c e e l r f ) ; e n l e x - n n g n u ] 6 4 [ f r e H - r h w e u c l c l x e n r r e p ( 0 1 g n n e r e f f k l j ; ) R 4 9 ( B K + R 5 5 Q l e e x r e n l n r e k r e h b ; R 5 5 Q l e r e n l n r e k r e h b e n p x e l e n p x e l e c n r v f e c n r v f e g n e c r e p h e g n e c r e p Genome Scan Flowering Time Adaptation Maize Discussion Suitability 50K Illumina array investigating line similarity , panel structure local diversity trend along genome ( CBD SS ) Ascertainment bias due marker type selection concern diversity analysis .",,,,"doi:10.1371/journal.pone.0071377.g002 pas P-value distribution , Figure S18 Text S1 ) .","line hypothesis northward expansion northern USA Europe flint , accompanied directional selection early flowering gradually led accumulation increasing number early allele .","FDR 5 % corresponded P-value,1023 .","considered two different four-column ancestry matrix obtained STRUCTURE PLOS ONE | www.plosone.org 4 August 2013 | Volume 8 | Issue 8 | e71377 [ 40,41 ] 55 SSRs ( called Q55SSRs ) , ADMIXTURE [ 42 ] 29911 SNPs ( called Q30KSNPs ) .",proven efficient study thus designed ass potential currently available mid-density array [ 31 ] order gain insight maize flowering time architecture .
also observed marker centromere chromosome 8 ( 50 95 Mb ) could closer causative locus surrounding associated marker .,"confirmed considering overrepresented set B73 ( SS ) 6Mo17 ( CBD ) SNPs lead overestimated genetic distance dent line ( Figure S5 Text S1 ) , observed study [ 31,69 ] .",,,,"estimated effect marker P-value,1025 ranged 44 ( 3.5 day ) 123.5 GDD ( 9.9 day ) , majority small effect strong effect ( Figure S19 Text S1 ) .","Corn Belt Dents , intermediate flint tropicals respect flowering date , presented higher level diversity QTLs .","Among association FFLW8 , 96 ( corresponding 18 region ) P-value 1025 , 50 1026 ( corresponding Bonferroni correction ) 7 1027 ( corresponding break point PLOS ONE | www.plosone.org 7 August 2013 | Volume 8 | Issue 8 | e71377 Genome Scan Flowering Time Adaptation Maize Figure 2 .",took Q55SSRs+KIBS ( 94SSRs ) model reference avoid use SNP candidate locus population structure kinship estimation .,"analyzed panel line adapted different representing broad range line , Corn-Belt Dents Stiff Stalk , environment ( tropical Northern European Flints ) previous flowering time candidate gene-based association study [ 21,30,32 ] ."
( 1997 ) Identification quantitative trait locus controlling heading date rice using high-density linkage map .,could result specific evolutionary process and/or experimental strategy used marker assembly .,,,,"Estimated genetic variance associated locus significant effect ranged 0 ( discarding limited number low negative value ) 34 % , three-quarters value 10 % ( Figure S20 Text S1 ) according linear mixed model ( lmm ) 0 9 % according linear model ( lm ) .",higher level polymorphism allows many different putative combination early-late allele adjustment flowering date local environmental condition .,"doi:10.1371/journal.pone.0071377.g002 pas P-value distribution , Figure S18 Text S1 ) .","considered association obtained within three main group ( dent , flint , tropicals ) obtained STRUCTURE 55 SSRs , using corresponding K obtained 94 SSRs linear mixed model .","order determine extent variation LD [ 33 ] estimate number marker required cover genome future exhaustive genome scan , looked LD using unbiased measure extract part correlation allelic frequency due intrinsic structure panel [ 34 ] ."
( 2007 ) Conserved noncoding genomic sequence associated flowering-time quantitative trait locus maize .,": PLOS ONE | www.plosone.org 11 August 2013 | Volume 8 | Issue 8 | e71377 stated , level polymorphism observed CBD presented limited loss compared tropical material .",,,,"analysis complemented multi-locus analysis FFLW8 starting 96 marker significant individual effect ( P-value,1025 ) .","Alleles increase precocity collectively found higher European Northern Flints dent tropicals number correlated precocity , consistent assumption phenotypic shift selectively driven many small effect locus .","estimated effect marker P-value,1025 ranged 44 ( 3.5 day ) 123.5 GDD ( 9.9 day ) , majority small effect strong effect ( Figure S19 Text S1 ) .",relative quality statistical model estimated data set Akaike Information Criterion ( AIC ) penalizes likelihood increasing number parameter estimate ( number structure covariates + number marker + polygenic variance + residual variance ) .,conducted association study focused female ( FFLW ) male flowering ( MFLW ) date anthesis-to-silking date interval ( ASI ) .
"Gilmour , Gogel B , Cullis B , Thompson R ( 2006 ) ASReml user guide release 2.0 .","comparing European flint diversity Northern flint , found 93 % allele common group , higher previous study multiallelic marker ( 75 % ) [ 83,84 ] .",,,,"nine first marker added model significant ( P-value,1023 ) conditionally previous model .",( 1997 ) Identification quantitative trait locus controlling heading date rice using high-density linkage map .,"Estimated genetic variance associated locus significant effect ranged 0 ( discarding limited number low negative value ) 34 % , three-quarters value 10 % ( Figure S20 Text S1 ) according linear mixed model ( lmm ) 0 9 % according linear model ( lm ) .",compared value proportion genetic variance obtained linear model includes structure .,compared diversity recombination pattern flowering time QTLs compared rest genome order identify putative selective event may shaped flowering time along ancient migration route .
( 2010 ) DNA polymorphism haplotype pattern transcription factor involved barley endosperm development associated key agronomic trait .,"Linkage disequilibrium estimation marker density required association study genotyping method used allow u estimate LD gene level obtained [ 85 ] adequate reveal LD structure genome level considering wide diversity line ( tropicals , Corn Belt Dents , Northern European Flints ) .",,,,"last marker entering model ( P-value,0.05 ) 29th .","( 2008 ) Genotype , haplotype copy-number variation worldwide human population .","analysis complemented multi-locus analysis FFLW8 starting 96 marker significant individual effect ( P-value,1025 ) .",Comparison similarity matrix structure three different set marker Similarities line obtained Panzea non- Panzea SNP marker linearly correlated ( Figure S5 Text S1 ) .,conformity check newly extracted DNA sample compared reference DNA sample revealed 10 illegitimate strongly divergent sample removed ( see Data S1 Text S1 ) .
( 2012 ) Diversity linkage disequilibrium feature composite public/private dent maize panel : consequence association genetics evaluated case study using flowering time .,"According Hill Weir model , LD dropped 0.1 200 kb genome level dropped almost background level around 500 kb-1 Mb .",,,,"96 marker P-value,1025 FFLW8 entire panel lmm , marker effect higher tropicals ( median = 162 GDD ) compared dent ( 75 GDD ) flint ( 53 GDD ) .","Duggal P , Gillanders EM , Holmes TN , Bailey-Wilson JE ( 2008 ) Establishing adjusted p-value threshold control family-wide type 1 error genome wide association study .","nine first marker added model significant ( P-value,1023 ) conditionally previous model .",Group assignment consistent 55 SSRs 29911 Panzea SNPs structure level ranging 2 5 ( Figure S8 Text S1 ) .,sub-sample PLOS ONE | www.plosone.org 2 August 2013 | Volume 8 | Issue 8 | e71377 Genome Scan Flowering Time Adaptation Maize Table 1 .
"Tenaillon MI , U ’ Ren J , Tenaillon , Gaut BS ( 2004 ) Selection versus demography : multilocus investigation domestication process maize .","value range reported literature different type panel [ 85,86,87,88 ] illustrates linkage disequi- librium maize markedly increased result domestication [ 1 ] genetic improvement [ 2,74,89 ] .",,,,"Among , 70 significant tropicals , 34 dent , 6 flint ( P-value,1023 ) .",,"last marker entering model ( P-value,0.05 ) 29th .",Extracting variation due population structure LD measure ( see Material Methods detail ) led decrease r2s relative r2 ( Figure S15 Figure S16 Text S1 ) .,"Group Northern Flint European Flint Iowa Stiff Stalk Corn Belt Dent Tropical Whole panel Abba NF EF SS CBD Trop S1P9 b Nq 57 62 26 115 76 336 Nq.0.8c Mean Simd 30 39 9 109 55 242 0.73 0.70 0.80 0.65 0.67 0.64 e 0.276 0.299 0.214 0.349 0.339 0.36 Polymf 0.84 0.89 0.52 0.98 0.98 - aAbb : abbreviation describing group , bNq = gi diq index line q index group , diq assignment proportion line group q according STRUCTURE software [ 40,41 ] using 55 SSRs , Nq number line group q ; cnumber line assigned group q genome proportion 0.8 ; dmean similarity within group , calculated IBS ( identity state ) ; eexpected heterozygosity inside group computed r-Hierfstat [ 46 ] ; f percentage polymorphic locus within group , , e , fstatistics computed considering line assignment one group 0.8. doi:10.1371/journal.pone.0071377.t001 relatively non-admixed line consisted 30 NF , 39 EF , 9 SS , 109 CBD 55 Trop ( Table 1 ) ."
,suggests maize genetic group considered study le differentiated group grape variety corresponding different us ( table vs. wine production ) .,,,,"addition , 110 marker ( P- significant value,1026 ) least one group , 9 flint , 63 dent 39 tropicals , mean effect 80 , 120 230 GDD , respectively .",,"96 marker P-value,1025 FFLW8 entire panel lmm , marker effect higher tropicals ( median = 162 GDD ) compared dent ( 75 GDD ) flint ( 53 GDD ) .","nevertheless detected region r2 corrected structure higher r2 ( Figure S11 ) , marker different chromosome LD even correction structure .","second one , reported first time , consisted 49 additional di-nucloetidic SSR marker ."
,"Given LD decrease value obtained study considering size maize genome around 2.5 109 bp [ 102 ] , average r2 0.1 0.3 adjacent marker would expected using 10450 ( Table 2 ) 75000 marker evenly distributed across genome .",,,,"Regarding first aspect , marker explained highest genetic variance ( 24 9 % lmm lm , respectively ) highest P-value ( 10213 , 10212 , 1024 FFLW8 , MFLW8 ASI8 , respectively ) located chromosome 8 ( # 23 Table 3 , 123506141 bp ) , gene ZCN8 5000 bp ( GRMZM2G179264 , 123501085 bp ) .",,"Among , 70 significant tropicals , 34 dent , 6 flint ( P-value,1023 ) .","upper triangle corresponds measure [ 34 ] corresponding r2 corrected structure , using Q LD r2 measure calculated Plink [ 50 ] , lower triangle LD r2 matrix obtained STRUCTURE software [ 40,41 ] 55 SSRs .","reference , considered 535 SNPs discovered region fully sequenced panel around Vgt1 chromosome 8 [ 21 ] , ZmCCT chromosome 10 [ 32 ] Tb1- D8 chromosome 1 [ 30 ] order compare MAF distribution ."
,Association genetics colocalisation QTLs gene involved flowering time generally difficult determine suitable significance threshold GWAS study .,,,,"Vgt1 Mite presented association P-value,10214 SAS GLM [ 32 ] P-value,1029 lmm study .",,"addition , 110 marker ( P- significant value,1026 ) least one group , 9 flint , 63 dent 39 tropicals , mean effect 80 , 120 230 GDD , respectively .","variation appeared closely related population structure ( R2 = 0.51 , 0.54 0.11 FFLW8 , MFLW8 ASI8 , respectively ) .","Allele frequency K cluster ( 2 15 ) estimated , percentage genome derived cluster estimated accession ."
,significant association study found 5000 bp ZCN8 closest marker gene 50K Illumina array .,,,,"figure , 673 marker P-value,1023 represented .",,"Regarding first aspect , marker explained highest genetic variance ( 24 9 % lmm lm , respectively ) highest P-value ( 10213 , 10212 , 1024 FFLW8 , MFLW8 ASI8 , respectively ) located chromosome 8 ( # 23 Table 3 , 123506141 bp ) , gene ZCN8 5000 bp ( GRMZM2G179264 , 123501085 bp ) .","FFLW8 , group adjusted mean 762 ( 641 ) , 763 ( 635 ) , 943 ( 673 ) , 889 ( 623 ) 1181 ( 633 ) NF , EF , SS , CBD Trop , respectively ( see Table S5 Text S1 trait ) .We tested several structure kinship matrix FFLW8 association study order avoid excess false positive .","minor allele frequency ( MAF ) , observed ( HO ) , expected ( ) heterozygosity , differentiation ( FST ) corre- sponding ratio inter-group diversity total genetic diversity according Nei [ 43,44 ] calculated locus overall level ."
,"QTLs region chromosome 8 highlighted numerous study meta analysis concluded presence two meta QTLs ( green blue zone [ 22 ] , Figure 3 ) .",,,,Different color correspond different P-value threshold .,,"Vgt1 Mite presented association P-value,10214 SAS GLM [ 32 ] P-value,1029 lmm study .",Adding structure matrix change P-values case .,"group panel ( locus ) locus Finally , considered classification based 55 SSRs reference estimate SNP allelic frequency genetic group , , PLOS ONE | www.plosone.org 3 August 2013 | Volume 8 | Issue 8 | e71377 Pk ( l ) q~ X diqXik ( l ) = X diq , Pk ( l ) q frequency allele k locus l group q , diq assignment proportion line group q , Xik ( l ) presence absence allele k locus l line , coded 0 1 , respectively ."
,"‘ ‘ blue zone ’ ’ , Vgt1 cloned map based approach confirmed numerous association mapping including present panel , therefore panel , unambiguous position .",,,,"doi:10.1371/journal.pone.0071377.g003 ( 1027 , P- marker slightly lower P-values value,1025 ) close NAM association [ 4 ] included meta QTLs [ 10 ] majority ( # 4 , # 6 , # 17 , # 21 , # 22 ) .",,Distribution SNP effect ( GDD ) according early allele frequency .,model involving structure matrix calculated 55 SSRs either IBS IBD kinship calculated 94 SSRs equivalent .,"calculated assignment one group 0.8. line using line Detection locus presenting selection signature taking structure obtained 55 SSRs reference , identified locus selection according difference allele frequency genetic group using BayeScan [ 47 ] ."
,Association study whole genome scan described considerable interest refining position .,,,,"LD , diversity differentiation marker associated FFLW8 region selection Diversity FST higher marker associated FFLW8 ( P-value,1025 ) compared part genome ( 0.42 compared 0.36 , FST 0.27 compared 0.16 ) .",,"figure , 673 marker P-value,1023 represented .","Considering limited difference SSR SNP based estimate population structure kinship , used model Q55SSRs+KIBS ( 94SSRs ) reference avoid using SNPs candidate locus population structure kinship estimation .",Departure neutrality given locus assumed locus-specific component necessary explain observed diversity pattern ( alpha significantly different 0 ) .
,"also confirmed , association study approach , Dfl1 nearby polymorphism involved flowering time variation .",,,,"nevertheless related flowering time according study ( # 1 , meta QTL 1_5 , 4 Mb association P- value 1025 ; # 3 1 Mb Phyc1 ; # 18 , 200 kb NAM PZA02722.1 .",,Different color correspond different P-value threshold .,P-values obtained mixed model including structure matrix obtained using STRUCTURE software 55 SSRs kinship matrix obtained 94 SSRs IBS measure .,"ratio posterior probability PO~ P ( M2=N ) P ( M1=N ) , M1 M2 model without selection N number locus tested ."
,"found many association close regulation factor , binding site , kinase protein ( Table 3 ) , consistent fact trait variation may controlled non-genic region regulating gene expression [ 104 ] .",,,,"value upper range reported diversity analysis based SNP genotyping , ranging 0.27 0.39 [ 72,73,74,75,76 ] .",,"doi:10.1371/journal.pone.0071377.g003 ( 1027 , P- marker slightly lower P-values value,1025 ) close NAM association [ 4 ] included meta QTLs [ 10 ] majority ( # 4 , # 6 , # 17 , # 21 , # 22 ) .","polygenic variance explained , structure effect removed , 62 % considering 29 first marker 66 % 71 marker .",used Jeffrey ’ scale evidence [ 49 ] posterior odds defined selected locus marker log10 ( PO ) .1 .
,"Association genetics lead many false positive structure included model , differential allelic fixation key causal polymorphism site reduces capacity detect association population structure included covariate .",,,,"relatedness corrects [ 34 ] closely linked polymorphism , observed rapid decrease r2 value physical distance SNPs increased .",,"LD , diversity differentiation marker associated FFLW8 region selection Diversity FST higher marker associated FFLW8 ( P-value,1025 ) compared part genome ( 0.42 compared 0.36 , FST 0.27 compared 0.16 ) .","Finally , avoid possible confusion population structure marker effect , estimated marker effect ANOVA three different genetic group ( flint , dent tropicals ) .","presence individual different genetic origin within panel produce LD unlinked locus ( long-range LD ) , simply difference allele frequency along genome , measure may lead underestimation number marker needed whole genome association genetics scan ."
,therefore used selection test complement association genetics detect locus level differentiation among group .,,,,fitted LD value obtained non-linear model [ 53 ] average obtained distance class approach close .,,"nevertheless related flowering time according study ( # 1 , meta QTL 1_5 , 4 Mb association P- value 1025 ; # 3 1 Mb Phyc1 ; # 18 , 200 kb NAM PZA02722.1 .","PZB02155.1 1 Mb apart ( 124657056 bp ) , found associated flowering time NAM population [ 4 ] panel including structure model .",rate imputation error minimal ( 3.5 % ) Genome Scan Flowering Time Adaptation Maize number cluster .
,"presented significant Standard selection test approach consist finding putative advantageous mutation spread rapidly within population , eliminating variation linked site .",,,,"value range reported literature different type panel [ 85,86,87,88 ] illustrates linkage disequi- librium maize markedly increased result domestication [ 1 ] genetic improvement [ 2,74,89 ] .",,"n e h w l ) h g h ( n c f n g , ] 7 4 [ n c e B h w e n b e n c e e l r f ) ; e n l e x - n n g n u ] 6 4 [ f r e H - r h w e u c l c l x e n r r e p ( 0 1 g n n e r e f f k l j ; ) R 4 9 ( B K + R 5 5 Q l e e x r e n l n r e k r e h b ; R 5 5 Q l e r e n l n r e k r e h b e n p x e l e n p x e l e c n r v f e c n r v f e g n e c r e p h e g n e c r e p Genome Scan Flowering Time Adaptation Maize Discussion Suitability 50K Illumina array investigating line similarity , panel structure local diversity trend along genome ( CBD SS ) Ascertainment bias due marker type selection concern diversity analysis .","n e h w l ) h g h ( n c f n g , ] 7 4 [ n c e B h w e n b e n c e e l r f ) ; e n l e x - n n g n u ] 6 4 [ f r e H - r h w e u c l c l x e n r r e p ( 0 1 g n n e r e f f k l j ; ) R 4 9 ( B K + R 5 5 Q l e e x r e n l n r e k r e h b ; R 5 5 Q l e r e n l n r e k r e h b e n p x e l e n p x e l e c n r v f e c n r v f e g n e c r e p h e g n e c r e p Genome Scan Flowering Time Adaptation Maize Discussion Suitability 50K Illumina array investigating line similarity , panel structure local diversity trend along genome ( CBD SS ) Ascertainment bias due marker type selection concern diversity analysis .","SNP , estimated number line sharing five major haplotype represented probability haplotype switch one SNP another along genetic recombination rate ."
,"Corn Belt Dents , intermediate flint tropicals respect flowering date , presented higher level diversity QTLs .",,,,"Generally , r2 0.10 considered minimum LD value needed detect association complex trait .",,"value upper range reported diversity analysis based SNP genotyping , ranging 0.27 0.39 [ 72,73,74,75,76 ] .","excluding marker considering Panzea SNPs , observe trend obtained population structure result highly consistent obtained 55 SSRs , including mostly trinucleotides ( Figure S8 Text S1 ) .","Days anthesis male flowering ( MFLW ) day silking female flowering ( FFLW ) anthesis silking interval ( ASI ) measured thermal time ( GDD : growing degree-days ) according [ 56 ] , parameter value ( Tb = 8u = 30uC ) maximized correlation site ( MFLW8 , FFLW8 , ASI8 ) ."
,higher level polymorphism allows many different putative combination early-late allele adjustment flowering date local environmental condition .,,,,"Given LD decrease value obtained study considering size maize genome around 2.5 109 bp [ 102 ] , average r2 0.1 0.3 adjacent marker would expected using 10450 ( Table 2 ) 75000 marker evenly distributed across genome .",,"Considering MAF distribution , observed lower proportion rare allele ( ,0.1 ) compared frequency class slight excess intermediate allele ( Figure S3 Text S1 ) .","illustrates based relevant marker sample , although leading discovery new polymorphism compared approach like GBS [ 70 ] sequencing [ 71 ] , SNP array powerful tool investigating population structure .","trait , LSMEANS inbred line calculated SAS PROC GLM ^mmz^xxi ."
,"outlier marker associated flowering time study , suggesting false negative study .",,,,"report information marker associated flowering trait P-value,1025 ( Table S8 ) , highlighting marker P-value,1027 ( Table 3 ) , represents break point logarithm cumulative P-value curve .",,relative ( compared group ) overabundance rare allele observed Northern Flints suggests population expansion group accompanied limited introgression external genetic group .,relative ( compared group ) overabundance rare allele observed Northern Flints suggests population expansion group accompanied limited introgression external genetic group .,"Whole genome association genetics investigate effect population structure , proportion genetic variance trait explained first four column five group Q matrix obtained 55 SSRs [ 30 ] calculated linear model take relatedness account ."
,"best false negative example noted chromosome 7 ( # 18 ) , clearly associated flowering time NAM design [ 4 ] .",,,,"multi-locus analysis FFLW8 showed nine first marker added model significant ( P-value,1023 ) conditionally previous model last one enter model ( P- value,0.05 ) 29th .",,"relatedness corrects [ 34 ] closely linked polymorphism , observed rapid decrease r2 value physical distance SNPs increased .","Linkage disequilibrium estimation marker density required association study genotyping method used allow u estimate LD gene level obtained [ 85 ] adequate reveal LD structure genome level considering wide diversity line ( tropicals , Corn Belt Dents , Northern European Flints ) .",took Q55SSRs+KIBS ( 94SSRs ) model reference avoid use SNP candidate locus population structure kinship estimation .
,suggests single GWAS design analysis method sufficient unravel complex genetics underlying natural variation complex trait like flowering time .,,,,"found many association close regulation factor , binding site , kinase protein ( Table 3 ) , consistent fact trait variation may controlled non-genic region regulating gene expression [ 104 ] .",,fitted LD value obtained non-linear model [ 53 ] average obtained distance class approach close .,"Correction population structure ( r2 ) clearly removed long distance LD ( Figure 1 , Figure S15 Text S1 ) , especially LD among centromere different chromosome .","First , since Vgt1 shown major QTL involved flowering time variation [ 21,24 ] , used second model includes Vgt1 supplementary fixed effect Q55SSRs+KIBS ( 94SSRs ) model test significance SNPs may involved flowering ."
,"highlight utility multiparental linkage based approach like NAM design break observed structure founder line reach balanced allele frequency , thus increasing statistical power [ 4 ] .",,,,broader integration biological informa- tion annotation regulatory element gene pathway would great value gaining insight control flowering time .,,"value range reported literature different type panel [ 85,86,87,88 ] illustrates linkage disequi- librium maize markedly increased result domestication [ 1 ] genetic improvement [ 2,74,89 ] .",could suggest perfectly correct measure structure effect alternative approach calculating r2 v considered .,"Second , forward variable selection applied 96 marker P- value,1025 , using mixed linear model used ( Q55SSRs+KIBS ( 94SSRs ) ) ."
,pattern dramatic occurs centromeric region ( see chromosome 8 study ) mechanical barrier crossover .,,,,"Considering association detected P-value 1025 , observed general pattern early allele propagation temperate line could describe blue wave maize expansion ( Figure 3 ) .",,"Generally , r2 0.10 considered minimum LD value needed detect association complex trait .","suggests Hill Weir model [ 53 ] , taking account sample size mutation rate , realistic Sved model [ 52 ] hypothesised size panel equal effective population size , panel undergone selection mutation recombination rate constant along genome .","order eliminate increasing number line procedure , used genotype imputed FastPHASE ."
,Recent empirical theoretical study suggest restricted recombination region play important role formation new genetic group specie .,,,,fact early allele rare tropical material suggests generally beneficial tropical condition since excessively shorten plant cycle .,,"Given LD decrease value obtained study considering size maize genome around 2.5 109 bp [ 102 ] , average r2 0.1 0.3 adjacent marker would expected using 10450 ( Table 2 ) 75000 marker evenly distributed across genome .","Extracting variation due population structure much change trend , average decrease around 150 kb instead 198 kb .",relative quality statistical model estimated data set Akaike Information Criterion ( AIC ) penalizes likelihood increasing number parameter estimate ( number structure covariates + number marker + polygenic variance + residual variance ) .
